gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
83,83,08,23025,0823025,Eckley,Eckley town,10823025,-102.489,40.1125,0101000020AD1000005CA0A653449F59C04415FD4F650E4440
84,84,08,48445,0848445,Manitou Springs,Manitou Springs city,10848445,-104.912,38.8576,0101000020AD1000007964DC41653A5AC021ACE5DEC56D4340
85,85,08,57025,0857025,Palmer Lake,Palmer Lake town,10857025,-104.905,39.1156,0101000020AD1000005FFD5B1EED395AC06A3A52CBCA8E4340
86,86,08,62660,0862660,Ramah,Ramah town,10862660,-104.167,39.1222,0101000020AD100000D85FC29AB50A5AC0893A177BA58F4340
87,87,08,72395,0872395,South Fork,South Fork town,10872395,-106.643,37.6694,0101000020AD100000150BDC0121A95AC01C1D9CA7ADD54240
88,88,08,15330,0815330,Coal Creek,Coal Creek town,10815330,-105.142,38.362,0101000020AD100000BED400F512495AC0601E7446572E4340
89,89,08,67280,0867280,Salida,Salida city,10867280,-105.999,38.5303,0101000020AD1000005E809F14EC7F5AC0DD4D860BE0434340
90,90,08,32650,0832650,Green Mountain Falls,Green Mountain Falls town,10832650,-105.024,38.9343,0101000020AD100000223E3B8884415AC07314C3EB97774340
91,91,08,18530,0818530,Cripple Creek,Cripple Creek city,10818530,-105.184,38.7462,0101000020AD1000004F895B55C74B5AC005E667D4815F4340
92,92,08,80865,0880865,Victor,Victor city,10880865,-105.142,38.709,0101000020AD100000E9E1122614495AC0F04E37A3C05A4340
93,93,08,73330,0873330,Springfield,Springfield town,10873330,-102.619,37.4049,0101000020AD1000004CAAD1079CA759C02AA02642D4B34240
94,94,08,79270,0879270,Two Buttes,Two Buttes town,10879270,-102.397,37.5607,0101000020AD10000024C5DD2A619959C023A6A6D8C3C74240
95,95,08,81030,0881030,Vilas,Vilas town,10881030,-102.447,37.3737,0101000020AD100000D3801078A29C59C0634BFB3AD4AF4240
96,96,08,27040,0827040,Florence,Florence city,10827040,-105.112,38.382,0101000020AD100000CF39320026475AC0FA01F4B1E6304340
97,97,08,64970,0864970,Rockvale,Rockvale town,10864970,-105.165,38.3647,0101000020AD100000630A1CBD8B4A5AC00CA37FEEAE2E4340
98,98,08,85155,0885155,Williamsburg,Williamsburg town,10885155,-105.171,38.384,0101000020AD100000634B3099F44A5AC0619F245E26314340
99,99,08,44320,0844320,Leadville,Leadville city,10844320,-106.294,39.2467,0101000020AD1000007811DBD6C8925AC0A61CB19F939F4340
100,100,08,57400,0857400,Parachute,Parachute town,10857400,-108.055,39.45,0101000020AD100000184535FF83035BC0C9978B6799B94340
101,101,08,42330,0842330,Lake City,Lake City town,10842330,-107.31,38.0302,0101000020AD100000D840F8FDDCD35AC001957C86DC034340
